"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
697,"23",D25,0,11,0,1
698,"23",K37,5,6,0,1
699,"23",N81,0,11,0,1
700,"23",H57,7,3,0,1
701,"23",K40,9,1,0,1
702,"23",K35,3,6,0,1
703,"23",K80,3,6,0,1
704,"23",S82,6,3,0,1
705,"23",H33,2,6,0,1
706,"23",N83,0,8,0,1
707,"23",S09,5,3,0,1
708,"23",K92,5,2,0,1
709,"23",N20,7,0,0,1
710,"23",Z94,5,2,0,1
711,"23",J18,2,4,0,1
712,"23",K64,3,3,0,1
713,"23",R99,12,18,0,1
714,"99",N81,0,1,0,1
715,"99",O82,0,1,0,1
716,"99",Z38,5,7,2,1
717,"99",Z41,0,1,0,1
718,"1",N18,43976,21281,3060,2
719,"1",Z01,2386,40042,30,2
720,"1",H52,9527,15583,65,2
721,"1",Z71,2744,12178,19,2
722,"1",Z34,0,13526,0,2
723,"1",Z76,5770,6519,3,2
724,"1",L70,3039,5553,0,2
725,"1",H40,3207,5292,5,2
726,"1",A09,3715,3850,17,2
727,"1",N39,1061,5539,14,2
728,"1",N89,0,6238,0,2
729,"1",H10,2684,3372,5,2
730,"1",E14,2027,3322,5,2
731,"1",Z33,0,5171,0,2
732,"1",Z30,105,4877,0,2
733,"1",N72,0,4895,0,2
734,"1",C91,2743,2089,0,2
735,"1",Z96,1702,3064,7,2
736,"1",Z98,2026,2592,0,2
737,"1",I10,1564,2933,17,2
738,"1",U07,2201,2258,4,2
739,"1",J00,2088,2233,6,2
740,"1",N92,0,3850,0,2
741,"1",H35,1515,2305,3,2
742,"1",H04,1128,2451,6,2
743,"1",H26,1350,2135,12,2
744,"1",K02,1457,1758,0,2
745,"1",B07,1221,1848,2,2
746,"1",L81,386,2642,0,2
747,"1",H25,968,2032,16,2
748,"1",R99,6930,12706,24,2
749,"2",N18,433,407,34,2
750,"2",Z01,21,474,0,2
751,"2",I10,140,315,1,2
752,"2",Z71,102,261,0,2
753,"2",N39,104,232,0,2
754,"2",E14,99,224,1,2
755,"2",A09,124,187,0,2
756,"2",Z34,0,226,0,2
757,"2",M54,77,139,0,2
758,"2",Z33,0,201,0,2
759,"2",H52,77,113,0,2
760,"2",M79,43,115,0,2
761,"2",H40,48,105,0,2
762,"2",J06,75,75,0,2
763,"2",U07,87,57,0,2
764,"2",N89,0,142,0,2
765,"2",K58,37,103,0,2
766,"2",K29,47,83,1,2
