id_atencion_por_departamento,id_departamento,codigo_cie,id_tipo_servicio
1357,21,C53,2
1358,21,H10,2
1359,21,C64,2
1360,21,J06,2
1361,21,C50,2
1362,21,L81,2
1363,21,Z71,2
1364,21,I87,2
1365,21,H26,2
1366,21,M54,2
1367,21,B35,2
1368,21,R99,2
1369,22,N18,2
1370,22,Z01,2
1371,22,N03,2
1372,22,N39,2
1373,22,N76,2
1374,22,Z34,2
1375,22,A09,2
1376,22,Z33,2
1377,22,N89,2
1378,22,C91,2
1379,22,Z98,2
1380,22,U07,2
1381,22,H52,2
1382,22,N72,2
1383,22,I10,2
1384,22,N92,2
1385,22,E14,2
1386,22,N19,2
1387,22,J18,2
1388,22,Z30,2
1389,22,L70,2
1390,22,H40,2
1391,22,K31,2
1392,22,Z96,2
1393,22,Z76,2
1394,22,J06,2
1395,22,M54,2
1396,22,F41,2
1397,22,J00,2
1398,22,E28,2
1399,22,R99,2
1400,23,H26,2
1401,23,U07,2
1402,23,Z96,2
1403,23,H40,2
1404,23,Z98,2
1405,23,E14,2
1406,23,H11,2
1407,23,H52,2
1408,23,Z01,2
1409,23,H16,2
1410,23,C91,2
1411,23,H10,2
1412,23,H04,2
1413,23,I10,2
1414,23,N39,2
1415,23,H57,2
1416,23,Z34,2
1417,23,A09,2
1418,23,S05,2
1419,23,H35,2
1420,23,H44,2
1421,23,Z41,2
1422,23,N72,2
1423,23,E11,2
1424,23,E28,2
1425,23,K31,2
1426,23,Z71,2
1427,23,C53,2
1428,23,H01,2
1429,23,M54,2
1430,23,R99,2
1431,99,Z01,2
1432,99,Z34,2
1433,99,N89,2
1434,99,N92,2
1435,99,Z30,2
1436,99,A63,2
1437,99,D25,2
1438,99,N39,2
1439,99,N40,2
1440,99,N76,2
1441,99,N95,2
1442,99,Z71,2
1443,99,D24,2
1444,99,E28,2
1445,99,N60,2
1446,99,N72,2
1447,99,C50,2
1448,99,C85,2
1449,99,H11,2
1450,99,I50,2
1451,99,N64,2
1452,99,N73,2
1453,99,T14,2
1454,99,A09,2
1455,99,B37,2
1456,99,E24,2
1457,99,E73,2
